Date,Open,High,Low,Close,Adj Close,Volume
20170818,242.899994,244.190002,242.199997,242.710007,230.069153,136748000
20170821,242.639999,243.199997,241.830002,242.899994,230.249237,65469700
20170822,243.570007,245.619995,243.550003,245.440002,232.656952,63140100
20170823,244.330002,245.050003,244.160004,244.559998,231.82283,50203800
20170824,245,245.179993,243.75,243.990005,231.282516,50741700
20170825,244.899994,245.610001,244.389999,244.559998,231.82283,64445900
20170828,245.169998,245.199997,244.089996,244.570007,231.832291,40565600
20170829,243.059998,245.149994,242.929993,244.850006,232.097702,51135700
20170830,244.830002,246.320007,244.619995,246.009995,233.197266,62030800
20170831,246.720001,247.770004,246.050003,247.490005,234.60022,103803900
20170901,247.919998,248.330002,247.669998,247.839996,234.931976,62007000
20170905,247.259995,247.520004,244.949997,246.059998,233.244644,91398800
20170906,246.839996,247.279999,246.229996,246.899994,234.040894,57916900
20170907,247.25,247.270004,246.399994,246.869995,234.012497,58034700
20170908,246.539993,247.110001,246.300003,246.580002,233.737595,63832800
20170911,248.039993,249.300003,248.020004,249.210007,236.230591,71364800
20170912,249.630005,250.089996,249.419998,250.050003,237.026871,56896000
20170913,249.720001,250.210007,249.589996,250.169998,237.140625,59228000
20170914,249.800003,250.320007,249.600006,250.089996,237.064804,95446300
20170915,248.690002,249.289993,248.570007,249.190002,237.383911,95432400
20170918,249.610001,250.119995,249.279999,249.720001,237.888794,46235200
20170919,250,250.070007,249.600006,249.970001,238.126953,47108100
20170920,250.070007,250.190002,248.919998,250.059998,238.212692,59574100
20170921,249.880005,249.979996,249.190002,249.389999,237.574432,48211400
20170922,249.050003,249.630005,249.020004,249.440002,237.622086,51214000
20170925,249.149994,249.550003,248.080002,248.929993,237.136246,57064400
20170926,249.419998,249.699997,248.809998,249.080002,237.279129,54082000
20170927,249.880005,250.490005,248.869995,250.050003,238.203171,81001400
20170928,249.729996,250.440002,249.630005,250.350006,238.488953,44778800
20170929,250.339996,251.320007,250.130005,251.229996,239.327286,85578000
20171002,251.490005,252.320007,251.289993,252.320007,240.365631,59023000
20171003,252.320007,252.889999,252.229996,252.860001,240.880035,66810200
20171004,252.690002,253.440002,252.559998,253.160004,241.165848,55953600
20171005,253.539993,254.679993,253.199997,254.660004,242.594788,63522800
20171006,254.149994,254.699997,253.850006,254.369995,242.318481,80646000
20171009,254.630005,254.699997,253.649994,253.949997,241.918411,35803100
20171010,254.600006,255.050003,253.979996,254.619995,242.556656,43057400
20171011,254.509995,255.020004,254.320007,255.020004,242.937698,47674300
20171012,254.660004,255.059998,254.369995,254.639999,242.575699,47065100
20171013,255.139999,255.270004,254.639999,254.949997,242.871048,54800400
20171016,255.210007,255.509995,254.820007,255.289993,243.194901,38221700
20171017,255.229996,255.520004,254.979996,255.470001,243.366379,31561000
20171018,255.899994,255.949997,255.5,255.720001,243.604538,40888300
20171019,254.830002,255.830002,254.350006,255.789993,243.671219,61903800
20171020,256.700012,257.140015,255.770004,257.109985,244.92868,89176400
20171023,257.480011,257.51001,256.019989,256.109985,243.976059,63915300
20171024,256.600006,256.829987,256.149994,256.559998,244.404739,66935900
20171025,256.179993,256.309998,254,255.289993,243.194901,103715300
20171026,255.990005,256.299988,255.479996,255.619995,243.509277,69798000
20171027,256.470001,257.890015,255.630005,257.709991,245.500259,85562500
20171030,256.470001,257.600006,256.410004,256.75,244.585739,54285700
20171031,257.179993,257.440002,256.809998,257.149994,244.966751,60304800
20171101,258.040009,258.429993,257.070007,257.48999,245.290665,54202700
20171102,257.410004,257.75,256.190002,257.589996,245.385941,56449500
20171103,257.769989,258.5,257.299988,258.450012,246.205215,59589700
20171106,258.299988,259,258.220001,258.850006,246.586258,49652600
20171107,258.970001,259.350006,258.089996,258.670013,246.414795,57502200
20171108,258.470001,259.220001,258.149994,259.109985,246.833908,50469600
20171109,257.730011,258.390015,256.359985,258.170013,245.938461,95085500
20171110,257.730011,258.290009,257.369995,258.089996,245.862244,59984700
20171113,257.309998,258.589996,257.269989,258.329987,246.090866,50228600
20171114,257.410004,257.850006,256.519989,257.730011,245.519302,61315200
20171115,256.619995,257.220001,255.630005,256.440002,244.290451,80811500
20171116,257.519989,259.040009,257.470001,258.619995,246.367157,67777000
20171117,258.220001,258.589996,257.769989,257.859985,245.643143,75756800
20171120,258.140015,258.519989,257.859985,258.299988,246.062271,48075500
20171121,259.179993,260.200012,258.26001,259.98999,247.672241,69176800
20171122,260,260.149994,259.570007,259.76001,247.453156,45033400
20171124,260.320007,260.480011,260.160004,260.359985,248.024689,27856500
20171127,260.410004,260.75,260,260.230011,247.900864,52274900
20171128,260.76001,262.899994,260.649994,262.869995,250.415802,98971700
20171129,263.019989,263.630005,262.200012,262.709991,250.263382,77512100
20171130,263.76001,266.049988,263.670013,265.01001,252.454422,127894400
20171201,264.76001,265.309998,260.76001,264.459991,251.930466,164390900
20171204,266.309998,266.799988,264.079987,264.140015,251.625641,94040600
20171205,263.190002,265.149994,263.040009,263.190002,250.720612,77994500
20171206,263.299988,263.730011,262.709991,263.23999,250.76828,75898600
20171207,264.070007,264.429993,262.940002,264.070007,251.558929,77218600
20171208,265.160004,265.519989,264.029999,265.51001,252.93074,76563900
20171211,266.309998,266.380005,265.480011,266.309998,253.692825,83077500
20171212,267.209991,267.320007,266.350006,266.779999,254.140533,85195800
20171213,267.059998,267.559998,266.649994,266.75,254.111984,102905400
20171214,267.089996,267.220001,265.600006,265.660004,253.073624,100666700
20171215,265.450012,267.040009,265.390015,266.51001,255.181091,144610300
20171218,268.100006,268.600006,267.980011,268.200012,256.799225,83653600
20171219,268.480011,268.529999,267.089996,267.170013,255.813004,82382900
20171220,268.269989,268.329987,266.690002,267.029999,255.678925,76751500
20171221,267.73999,268.390015,267.299988,267.579987,256.205536,67032300
20171222,267.600006,267.640015,266.899994,267.51001,256.13855,78720900
20171226,267.049988,267.440002,266.890015,267.190002,255.832169,45244400
20171227,267.380005,267.730011,267.01001,267.320007,255.956604,57751000
20171228,267.890015,267.920013,267.450012,267.869995,256.483246,45116100
20171229,268.529999,268.549988,266.640015,266.859985,255.516174,96007400
20180102,267.839996,268.809998,267.399994,268.769989,257.345001,86655700
20180103,268.959991,270.640015,268.959991,270.470001,258.972717,90070400
20180104,271.200012,272.160004,270.540009,271.609985,260.06424,80636400
20180105,272.51001,273.559998,271.950012,273.420013,261.797302,83524000
20180108,273.309998,274.100006,272.980011,273.920013,262.276093,57319200
20180109,274.399994,275.25,274.079987,274.540009,262.86972,57254000
20180110,273.679993,274.420013,272.920013,274.119995,262.467529,69574300
20180111,274.75,276.119995,274.559998,276.119995,264.382507,62361500
20180112,276.420013,278.109985,276.079987,277.920013,266.106049,90816100
20180116,279.350006,280.089996,276.179993,276.970001,265.196442,106555100
20180117,278.029999,280.049988,276.970001,279.609985,267.724121,113258800
20180118,279.480011,279.959991,278.579987,279.140015,267.2742,100728000
20180119,279.799988,280.410004,279.140015,280.410004,268.490173,140920100
20180122,280.170013,282.690002,280.109985,282.690002,270.673279,91322400
20180123,282.73999,283.619995,282.369995,283.290009,271.247772,97084700
20180124,284.019989,284.700012,281.839996,283.179993,271.142456,134816100
20180125,284.160004,284.269989,282.399994,283.299988,271.257324,84587300
20180126,284.25,286.630005,283.959991,286.579987,274.397858,107743100
20180129,285.929993,286.429993,284.5,284.679993,272.578674,90118300
20180130,282.600006,284.73999,281.220001,281.76001,269.782837,131796400
20180131,282.730011,283.299988,280.679993,281.899994,269.916779,108364800
20180201,281.070007,283.059998,280.679993,281.579987,269.610474,90102500
20180202,280.079987,280.230011,275.410004,275.450012,263.741058,173174800
20180205,273.450012,275.850006,263.309998,263.929993,252.710663,294681800
20180206,259.940002,269.700012,258.700012,269.130005,257.689697,355026800
20180207,268.5,272.359985,267.579987,267.670013,256.291748,167376100
20180208,268.01001,268.170013,257.589996,257.630005,246.678558,246449500
20180209,260.799988,263.609985,252.919998,261.5,250.384048,283565300
20180212,263.829987,267.01001,261.660004,265.339996,254.060822,143736000
20180213,263.970001,266.619995,263.309998,266,254.692734,81223600
20180214,264.309998,270,264.299988,269.589996,258.130157,120735700
20180215,271.570007,273.040009,268.769989,273.029999,261.423859,111200300
20180216,272.320007,275.320007,272.269989,273.109985,261.500488,160420100
20180220,272.029999,273.670013,270.5,271.399994,259.86319,86369700
20180221,271.899994,274.720001,269.940002,270.049988,258.570557,98883700
20180222,271.100006,273.049988,269.640015,270.399994,258.905701,110511300
20180223,271.790009,274.709991,271.25,274.709991,263.032471,92766400
20180226,275.929993,278.01001,275.26001,277.899994,266.086884,86491400
20180227,278.109985,278.920013,274.359985,274.429993,262.764404,99099200
20180228,275.679993,276.190002,271.290009,271.649994,260.102539,121907800
20180301,271.410004,273.170013,266,267.700012,256.320496,176855100
20180302,265.799988,269.720001,264.820007,269.079987,257.641815,139083200
20180305,267.730011,272.890015,267.609985,272.190002,260.619568,97307400
20180306,273.299988,273.390015,271.179993,272.880005,261.280273,79213200
20180307,270.420013,273.179993,270.200012,272.779999,261.18457,87063500
20180308,273.549988,274.23999,272.420013,274.100006,262.448425,66901200
20180309,275.700012,278.869995,275.339996,278.869995,267.015686,113625300
20180312,279.200012,279.910004,278.079987,278.519989,266.680542,71924800
20180313,279.839996,280.410004,276.029999,276.720001,264.957031,91968900
